screen_name,fav,rt,tweet,tweet_url
BernieSanders,16435,5271,"The inventors of insulin sold the patent for just $1 so it would be available to all.

97 years later, Americans ar… https://t.co/PdTRS8TB2F",https://twitter.com/BernieSanders/status/1155189862477119488
DineshDSouza,18249,7053,"Rodents love Baltimore but they also love other Democratic cities like Detroit, St Louis and San Francisco. Which D… https://t.co/9e2tt1CVPT",https://twitter.com/DineshDSouza/status/1155226378234671105
realDonaldTrump,39740,8705,....be leaving office on August 15th. I would like to thank Dan for his great service to our Country. The Acting Di… https://t.co/THWZHt8KiQ,https://twitter.com/realDonaldTrump/status/1155580142225383425
elrufai,16646,8191,Where is this industrious boy? How old is he? Kindly bring him to me in Kaduna. I will sponsor him to attend a boar… https://t.co/tUqJrj54rm,https://twitter.com/elrufai/status/1155058082218749952
ChuckCallesto,16059,6987,"BREAKING:  Trump Takes Major Action; Will Subpoena ALL Obama, Clinton Related Records...

LET THE REAL INVESTIGATIO… https://t.co/lM7sqgywHB",https://twitter.com/ChuckCallesto/status/1155155127667429377
soledadobrien,15900,4226,The last one minute of this will kill you. Watch it. @VictorBlackwell managing to deliver thoughtful and amazing co… https://t.co/ZrXKLH2Bga,https://twitter.com/soledadobrien/status/1155151459786338304
GeorgeTakei,32283,7769,"Trump has made clear his 2020 campaign will use racism to energize his base. Take the pledge now:

1) I will call o… https://t.co/LfY40vp7RT",https://twitter.com/GeorgeTakei/status/1155128754651488257
Franklin_Graham,14490,3431,"Way to go South Dakota! “In God We Trust” will now be displayed in every public school in South Dakota, following a… https://t.co/V5GJELuXxD",https://twitter.com/Franklin_Graham/status/1155269285784293376
davidaxelrod,15216,3928,"If @realDonaldTrump loses in 2020, this will be why.
Every, single day, he subjects the country he was elected to l… https://t.co/tKBoMkM6DZ",https://twitter.com/davidaxelrod/status/1155109653757476870
BCFC,382,753,"We can’t wait to see Ivan in Royal Blue! 🔵🤩

To celebrate our new arrival, we’ve got an exclusive signed pennant up… https://t.co/Dd3qYT3nFF",https://twitter.com/BCFC/status/1155200397331566592
TPSOperations,92,605,"Missing Boys:
Victoria Park/ St Clair Ave,
Anthony Grey, 14, 5'4, brn eyes, blk hair..corn rows. Wearing blue jkt,… https://t.co/80IeLAC6h2",https://twitter.com/TPSOperations/status/1155115429142114308
ava,5826,333,"Six years ago out of the blue, a kind woman from Puerto Rico cheered me on as I directed her favorite TV show, SCAN… https://t.co/mAPeT2B9gE",https://twitter.com/ava/status/1155480707688366080
BleacherReport,1144,281,"Blue Jays and Mets “in agreement” on Marcus Stroman trade pending medical review, per @jonmorosi https://t.co/5TwQTCmJaJ",https://twitter.com/BleacherReport/status/1155598190256635904
LeaveEUOfficial,1950,633,"MUST READ | @Arron_banks in today's Sunday Express, on the need for a patriotic alliance between Boris and Nigel an… https://t.co/ycfs5udzhI",https://twitter.com/LeaveEUOfficial/status/1155398259151659008
PamKeithFL,1550,985,"If you are wondering how the 2018 Blue Wave happened, Chris Wray &amp; Dan Coates launched countermeasures that kept th… https://t.co/AFpQhMAVOu",https://twitter.com/PamKeithFL/status/1155592036675964928
Feinsand,1642,538,Source: The Blue Jays will be receiving pitching prospects from the Mets in the Marcus Stroman deal.,https://twitter.com/Feinsand/status/1155601271556063232
MichaelBridge_,3790,731,"Somewhat out of the blue, but it looks like Nicolas Pepe is joining Arsenal which surely ends all talk of Zaha goin… https://t.co/8TN5QfXPkt",https://twitter.com/MichaelBridge_/status/1155081812126969857
ChelseaFC,13728,1388,"On this day in 2004, Ricardo Carvalho became a Blue! 🔵

What's your favourite Riccy moment? https://t.co/i3BpXkd8Zb",https://twitter.com/ChelseaFC/status/1155055728962539521
ChelseaFC,6199,615,.@morriskid is a Blue through and through... 💙 https://t.co/Z9HF9uI6mY,https://twitter.com/ChelseaFC/status/1155006403519533058
